"product_name","brands","stores","nutriscore_grade","nutrition_score_fr","energy_kcal","fat_100g","saturated_fat_100g","sugars_100g","salt_100g","fiber_100g","proteins_100g","labels","origins","categories","url","code"
"Sidi Ali","Sidi Ali","يوسف","a","","0.0","0.0","0.0","1.4","0.0","0.0","0.0","","","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","https://world.openfoodfacts.org/product/6111035000430/sidi-ali","6111035000430"
"Perly","Jaouda","","unknown","","97.0","3.0","","","","","8.0","","Morocco","Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Cream cheeses,fr:Fromages-frais-sucres","https://world.openfoodfacts.org/product/6111242100992/perly-jaouda","6111242100992"
"Sidi Ali","sidi ali","","a","","","","","","0.065","","","Green Dot","Bassin d'Oulmès,Sidi Ali Cherif","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters","https://world.openfoodfacts.org/product/6111035002175/sidi-ali","6111035002175"
"Eau minérale naturelle","Les Eaux Minérales d'oulmès,Sidi Ali","","a","","","","","","0.065","","","ISO 22000,ISO 14001,ISO 45001,ISO 9001","Morocco","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","https://world.openfoodfacts.org/product/6111035000058/sidi-ali-mineral-water-les-eaux-minerales-d-oulmes","6111035000058"
"اكوافينا","pepsi,PepsiCo","Marjane,Carrefour","a","","0.0","0.0","0.0","0.0","0.000508","0.0","0.0","","Maroc","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table","https://world.openfoodfacts.org/product/6111252421568/aquafina-33cl-pepsi","6111252421568"
"Lait","Jaouda","","b","","45.0","1.5","1.0","0.0","0.225","","3.1","","","Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks","https://world.openfoodfacts.org/product/6111266962187/lait-jaouda","6111266962187"
"Eau De Source","Cristaline","Carrefour,Leclerc,Auchan,Intermarché,Super U,E.Leclerc","a","","0.0","0.0","0.0","0.0","0.0525","0.0","0.0","it:Acqua di sorgente","France,fr:Saint-Martin de Gurson","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","https://world.openfoodfacts.org/product/3274080005003/eau-de-source-cristaline","3274080005003"
"Fromage blanc nature","MILKY FOOD PROFESSIONAL","","a","","80.6","12.0","0.0","0.0","0.0","0.0","7.3","","Morocco","Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures","https://world.openfoodfacts.org/product/6111246721261/fromage-blanc-nature-milky-food-professional","6111246721261"
"uht jaouda 1L","Jaouda","","b","","58.0","3.0","0.0","0.0","0.0","","3.0","No gluten","","Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT","https://world.openfoodfacts.org/product/6111242101180/uht-jaouda-1l","6111242101180"
"Jben","Jaouda","","d","","235.0","21.0","15.0","0.0","0.46","0.0","8.0","en:No gluten","maroc","en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse","https://world.openfoodfacts.org/product/6111242106949/jben-jaouda","6111242106949"
"Ain Saïss","Danone","marjane","a","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","Maroc","Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté","https://world.openfoodfacts.org/product/6111128000071/ain-saiss-danone","6111128000071"
"Eau minéral naturelle","Ain atlas","","a","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Green Dot","Morocco","Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters","https://world.openfoodfacts.org/product/6111035502828/eau-mineral-naturelle-ain-atlas","6111035502828"
"6111035000027","Sidi Ali","","a","","0.0","0.0","0.0","0.0","0.0065","","0.0","Point Vert,en:Maroc","fr:maroc","Eaux minérales naturelles","https://world.openfoodfacts.org/product/6111035000027/mineral-water-sidi-ali","6111035000027"
"Marmite Yeast Extract","Marmite,Unilever","Monoprix,Tesco","e","","260.0","0.5","0.1","1.2","10.8","","34.0","Végétarien,Végétalien,Union Végétarienne Européenne,Union Végétarienne Européenne Végétalien,en:Verified","","Dairies, Fermented foods, Fermented milk products, Buttermilks, en:yeast-extract-spreads","https://world.openfoodfacts.org/product/50184453/marmite-yeast-extract","50184453"
"","Jaouda","","a","","101.0","6.0","0.0","0.0","0.0","0.0","7.6","","Maroc","Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures","https://world.openfoodfacts.org/product/6111242100985/jaouda","6111242100985"
"Lait Frais","centrale danone","","b","","45.0","1.5","1.0","0.0","0.0","","3.0","No gluten","","Dairies, Milks, Fresh milks, en:semi-skimmed-milks","https://world.openfoodfacts.org/product/6111032009665/lait-frais-centrale-danone","6111032009665"
