product_name,brands,stores,nutriscore_grade,nutrition_score_fr,energy_kcal,fat_100g,saturated_fat_100g,sugars_100g,salt_100g,fiber_100g,proteins_100g,labels,origins,categories,url,code,has_label_bio,nutrient_density,scoring_nutritionnel_personnalise,qualite_nutritionnelle
Sidi Ali,Sidi Ali,يوسف,A,,0.0,0.0,0.0,1.4,0.0,0.0,0.0,,,"Boissons And Boissons Preparations,Boissons,Waters,Spring Waters,Mineral Waters,Unsweetened Boissons,Natural Mineral Waters",https://world.openfoodfacts.org/product/6111035000430/sidi-ali,6111035000430,False,0.0,1.4,Excellent
اكوافينا,"Pepsi,Pepsico","Marjane,Carrefour",A,,0.0,0.0,0.0,0.0,0.000508,0.0,0.0,,Maroc,"Boissons Et Préparations De Boissons,Boissons,Eaux,Eaux De Sources,Eaux Minérales,Eaux De Table",https://world.openfoodfacts.org/product/6111252421568/aquafina-33cl-pepsi,6111252421568,False,0.0,0.0,Excellent
Eau De Source,Cristaline,"Carrefour,Leclerc,Auchan,Intermarché,Super U,E.Leclerc",A,,0.0,0.0,0.0,0.0,0.0525,0.0,0.0,It:Acqua Di Sorgente,"France,Fr:Saint-Martin De Gurson","Boissons And Boissons Preparations,Boissons,Waters,Spring Waters,Mineral Waters,Unsweetened Boissons,Natural Mineral Waters",https://world.openfoodfacts.org/product/3274080005003/eau-de-source-cristaline,3274080005003,False,0.0,0.0,Excellent
Ain Saïss,Danone,Marjane,A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Maroc,"Boissons,Eaux,Eaux De Sources,Eaux Minérales,Boissons Sans Alcool,Boissons Sans Sucre Ajouté",https://world.openfoodfacts.org/product/6111128000071/ain-saiss-danone,6111128000071,False,0.0,0.0,Excellent
Eau minéral naturelle,Ain Atlas,,A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green Dot,Morocco,"Boissons,Waters,Spring Waters,Mineral Waters,Natural Mineral Waters",https://world.openfoodfacts.org/product/6111035502828/eau-mineral-naturelle-ain-atlas,6111035502828,False,0.0,0.0,Excellent
Oulmes Eau Gazeuse,Oulmès,,A,,0.0,0.0,0.0,0.0,0.31,0.0,0.0,,,Carbonated Mineral Waters,https://world.openfoodfacts.org/product/6111035003004/oulmes-eau-gazeuse,6111035003004,False,0.0,0.0,Excellent
Aïn Atlas 50cl,Aïn Atlas,,A,,0.0,0.0,0.0,0.0,0.024,0.0,0.0,En:Aïn Atlas,"En:Bassin Oulmès,En:Source Hammou Agamgam","Boissons,Eaux,Eaux De Sources,Eaux Minérales",https://world.openfoodfacts.org/product/6111035001673/ain-atlas-50cl,6111035001673,False,0.0,0.0,Excellent
Eau Minérale Naturelle,Volvic,Auchan,A,,0.0,0.0,0.0,0.0,0.003,0.0,0.0,"Carbon Compensated Product,Carbon Trust,Carbon Trust Carbon Neutral,Certified B Corporation,Triman,B-Corporation-Certification","France,Auvergne","Boissons-And-Boissons-Preparations, Boissons, Waters, Spring-Waters, Mineral-Waters, Natural-Mineral-Waters, Getränke, De:Mineralwasser, Natürliches-Mineralwasser, De:Quellwasser, De:Wasser",https://world.openfoodfacts.org/product/3057640257773/natural-mineral-water-volvic,3057640257773,False,0.0,0.0,Excellent
La salvetat,"Danone,La Salvetat",,A,,0.0,0.0,0.0,0.0,0.00125,0.0,0.0,"Sud De France,Triman","France,En:Haut-Languedoc","Boissons Et Préparations De Boissons,Boissons,Boissons Gazeuses,Eaux,Eaux De Sources,Eaux Minérales,Eaux Gazeuses,Eaux Minérales Naturelles,Eaux Minérales Gazeuses,Eau Minérale Naturelle Gazéifiée",https://world.openfoodfacts.org/product/3068320123264/la-salvetat-danone,3068320123264,False,0.0,0.0,Excellent
Assaisonnement aromatisé au citron,Star,,A,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Condiments,Sauces,Sauces Salades",https://world.openfoodfacts.org/product/6111184003276/assaisonnement-aromatise-au-citron-star,6111184003276,False,1.0,1.0,Excellent
